"";"id";"screen name";"text"
"68";"UHJvcG9zYWw6ZGUyMTFjOGMtNDM1ZC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_84699";"Rendre obligatoire l'enseignement de l'histoire des religions (toutes les religions) à l'école primaire et au collège. Obligatoire y compris dans toutes les écoles privées. Organiser des débats avec des intervenants extérieurs. Ajouter une épreuve aux examens"
"69";"UHJvcG9zYWw6ZmRlZWU1ZTQtM2VjMi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_72456";"c'est un faux problème. il s'agit du respect de chacun que le prétexte à vouloir s'imposer à l'autre soit religieux ou pas."
"70";"UHJvcG9zYWw6NTAxMTk1ZjMtNDcxOC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_104160";"Laissons l'Etat à l'écart des religions. Nos lois sont largement suffisantes."
"71";"UHJvcG9zYWw6MTljMGI0MmYtMjIyMS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_21077";"Certes il y a un principe de laïcité mais à vouloir le pousser à l'extrême vers le politiquement correcte ne mène qu'à des situations faisant monter les extrêmes. Comment se fait-il qu'il y a 50 ans, les religions avaient perdu de leur influence, à la fois en Occident et dans les pays Arabes (pas de voile pour les femmes dans de très nombreux pays), alors qu'aujourd'hui on se retrouve au bord de guerres de religions car justement on donne de plus en plus de pouvoir à ces dernières? Toutes les religions devraient s'intégrer dans la République sans se montrer de manière ostentatoires. On fait ce qu'on veut chez soit et dans les lieux de culte, mais désormais c'est devenu un moyen de revendiquer son appartenance à un pays étranger voire une haine de la France que de porter de tenues traditionnelles d'autres cultures ou religions. Qui n'a jamais entendu """"ici c'est pas la France, c'est pas vous qui décidez""""... Venez vous aussi faire une tour dans les cités et vous verrez. Il y a une interdiction du port du voile ne laissant que les yeux visibles car il me semble qu'on ne doit pas se déplacer """"caché"""" en France, mais qui respecte et qui fait respecter ça? Il n'y a aucune autorité en la matière. Je pense que dès l'école primaire il faudrait renforcer l'éducation de la laïcité.  En retour on a aussi une poussé une catholique extrêmes, bornés et fermés d'esprit qui réduisent l'homosexualité à des maladies, refusent l'adoption aux couple de même sexe et voudraient revenir sur le droit à l'avortement! Mais où va-t-on??  L’État ne doit pas financer les Religions mais les encadrer plus rigoureusement."
"72";"UHJvcG9zYWw6OWMwMjI2YmYtNDk1MS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_113840";"Ne pas détourner la lois sur la laïcité."
"73";"UHJvcG9zYWw6NmMxZmY0M2UtMjU0MC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_29216";"L'Etat est le garant du respect du principe de laïcité à travers la loi. Les institutions religieuses doivent être encadrées la loi et la respecter (notamment le financement et l'enseignement religieux).  L'école ne doit pas accepter de signes distinctifs religieux. La justice doit s'appliquer sans faiblesse"
"74";"UHJvcG9zYWw6MTAzZmI5NzMtMzlkNC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_62143";"la laicité doit être respectée partout et tout le temps ; la pratique des religions doit absolument rester intime et personnelle ; il faut recadrer l'islam de France qui s'autorise tout, signes religieux extérieures, tenues vestimentaires, voiles ou plus encore, barbes, prières au travail...etc ; est-il normal qu'en Ile de France l'intégralité des sandwichs et pizzas à emporter soient halal ?? non seulement cette nourriture """"religieuse"""" n'a pas à exister dans notre pays, mais en plus on nous l'impose, nous n'avons plus le choix !...serions nous acceptés en pays musulmans si nous tentions d'imposer le porc dans les restaurants ?"
"75";"UHJvcG9zYWw6NzU1MDI0ZjQtMjg4MS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_36332";"Doit faire partie des programmes scolaires des l élémentaire"
"76";"UHJvcG9zYWw6ODIzZmNjN2UtMWYyOC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_8765";"La laïcité telle que définie aujourd'hui par l'état français me convient."
"77";"UHJvcG9zYWw6ZmMwN2RhZTAtMzUyNy0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_54453";"Non réponse"
"78";"UHJvcG9zYWw6YTY1MjI4NjgtNDNlZC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_87567";"il ne faut pas revenir sur certains sujets comme la peine de mort, le mariage pour tous :"
"79";"UHJvcG9zYWw6N2YxZGEwNDUtMjIzZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_21691";"Non réponse"
"80";"UHJvcG9zYWw6NDdlZjAwYTUtNDc2OS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_107018";"renforcer les organisations représentatives des religions qui n'en ont pas ou qui ne fonctionnement pas bien"
"81";"UHJvcG9zYWw6NmYwNGMwYzgtMjdlNC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_35250";"Appliquer la loi, tout simplement"
"82";"UHJvcG9zYWw6MWY4MDQ0YzktMjIzNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_21491";"Non réponse"
"83";"UHJvcG9zYWw6ZjkxYTQ3MzYtMjI2NC0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_22790";"Encore une fois, les mandataires sont élus pour accomplir leur mission, peu importe leur religion et les signes religieux qu'il choisira de porter ou non: un voile, un turban, une croix ou un costume trois pièces n'a pas lieu de choquer mais de toute façon se sont les citoyens  qui choisiront démocratiquement de garder ce mandataire ou non."
"84";"UHJvcG9zYWw6Yjc2NmUxMGEtMjI1MS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_22218";"NSP"
"85";"UHJvcG9zYWw6NGNjYWVlOTEtNDhjZC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_111444";"Non réponse"
"86";"UHJvcG9zYWw6ZDE5MzI5MTQtM2U4YS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_71542";"Réglementations claires pour limiter tous les excès  de toutes les religions. Respect de l'athéisme."
"87";"UHJvcG9zYWw6NDRlZDdlNjItMWZhYy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_11249";"rappeler la séparation de l'église et de l'état dans tous les départements français, faire un enseignement sur  les religions"
"88";"UHJvcG9zYWw6ZjM3Y2NiOWEtMjhiYi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_37155";"qui demande que les principes de la laïcité soient renforcés ? elle est actuellement bien encadrée, elle se portera bien si on laisse les religions exister avec respect."
"89";"UHJvcG9zYWw6OTA1NmExNzctNDBkZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_76496";"Le Président ne doit pas intervenir, ni interférer dans les sphères religieuses. Faire respecter la laïcité,  c’est aussi interdire les pratiques religieuses dans les rues, les écoles publiques, les bâtiments publics."
"90";"UHJvcG9zYWw6Mjg0M2FlNjktNDQwNC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_88119";"Non réponse"
"91";"UHJvcG9zYWw6ZDczNWE4MzUtMzE0NC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_48941";"Aucun compromis, aucune tolérance. La religion doit rester du domaine privée et n'a rien à faire dans le champs public."
"92";"UHJvcG9zYWw6YzQ0NGZjZTEtMzY5ZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_57033";"Non réponse"
"93";"UHJvcG9zYWw6Yjk0ZDQwNTgtMWYwNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_7342";"appliquer déjà la loi en place, être plus ferme avec les représentants de l'Islam qui ne font pas le ménage chez eux, créer un fond pour la construction des mosquées ou autres afin qu'elles ne soient pas financées par des pays intégristes et islamiques et n'autoriser que des imams parlant français, formés en France à prendre la parole"
"94";"UHJvcG9zYWw6OGIyMWFiMDAtM2JkNS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_65463";"Non réponse"
"95";"UHJvcG9zYWw6ODMzNTY4ODAtNDMwZS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_81693";"S’appuyer d’abord sur une éducation forte. Un professeur doit être une figure d’autorité et de confiance ce qui veut dire que ces critères doivent faire partie de la formation et de la sélection. Le niveau baisse également !"
"96";"UHJvcG9zYWw6MWMzMDZjNzctMjI0Ni0xMWU5LTk0ZDItZmExNjNlZWIxMWUx";"user_21876";"L'Etat ne participe en aucun cas à la vie religieuse, l’islam doit se soumettre aux lois de la République. Les signes religieux doivent être interdit dans l'espace public et dans les entreprises. Il faut arrêter de reculer face à cela, car c'est un danger pour la démocratie."
"97";"UHJvcG9zYWw6ZWJmZjUyOTYtM2I2YS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_64559";"Non réponse"
"98";"UHJvcG9zYWw6MThjNzhlMjItMmM5Mi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_42616";"En France chaque citoyen est libre de pratiquer la’ religion qu’il a chosit. Je ne vois pas mieux. Ce n’est pas une affaire de l’Etat mai  par contre Il pourrait aider les différentes communautés à bâtir des ponts entre elles afin que les unes comprennent et sachent ce que font les autres."
"99";"UHJvcG9zYWw6NjU4NmUwMDAtMzYxNi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_56296";"Éducation à la laïcité à l’ecole et sanctions"
"100";"UHJvcG9zYWw6ZjJhMzE1NzAtNDkwNS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_113365";"Non réponse"
"101";"UHJvcG9zYWw6MDRiYWRmYjItM2QzMi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_68174";"Ne pas être faible ou naif sur l’extrémisme islamiste"
"102";"UHJvcG9zYWw6NjIxOTg4Y2ItMzg3Mi0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_60220";"Appliquer le principe de laïcité"
"103";"UHJvcG9zYWw6NmRhZjQ0MmUtNDk1Ni0xMWU5LWJmNTYtZmExNjNlZWIxMWUx";"user_113882";"Non réponse"
